SetNumber,URL,Description,Notes,DateAdded,DateRetrieved
"1427-1","http://cache.lego.com/bigdownloads/buildinginstructions/4178472.pdf","OGEL UNDERWATER SLIZER","BI 1427","2010-01-01","2017-06-28"
"1428-1","http://cache.lego.com/bigdownloads/buildinginstructions/4174856.pdf","Kick 'n' Score","{No longer listed at LEGO.com}","2012-06-01","2012-06-12"
"1429-1","http://cache.lego.com/bigdownloads/buildinginstructions/4174858.pdf","Goalkeeper Training","{No longer listed at LEGO.com}","2012-06-01","2012-06-12"
"1430-1","http://cache.lego.com/bigdownloads/buildinginstructions/4174859.pdf","Precision Training","{No longer listed at LEGO.com}","2012-06-01","2012-06-12"
"1441-1","http://cache.lego.com/bigdownloads/buildinginstructions/4206494.pdf","FIKOU","BI  1441","2010-01-01","2017-06-28"
"1660-1","http://cache.lego.com/bigdownloads/buildinginstructions/4103889.pdf","","{No longer listed at LEGO.com}","2010-01-01",
"1719-1","http://cache.lego.com/bigdownloads/buildinginstructions/877195.pdf","CANN. W. BUILDING LID EXCL.","{No longer listed at LEGO.com}","2012-06-01","2012-06-12"
"1747-1","http://cache.lego.com/bigdownloads/buildinginstructions/4103885.pdf","","{No longer listed at LEGO.com}","2010-01-01",
"1749-1","http://cache.lego.com/bigdownloads/buildinginstructions/4103886.pdf","","{No longer listed at LEGO.com}","2010-01-01",
"1752-1","http://cache.lego.com/bigdownloads/buildinginstructions/4103887.pdf","","{No longer listed at LEGO.com}","2010-01-01",
"1760-1","http://cache.lego.com/bigdownloads/buildinginstructions/877132.pdf","GO-KART","{No longer listed at LEGO.com}","2012-06-01","2012-06-12"
"1775-1","http://cache.lego.com/bigdownloads/buildinginstructions/877075.pdf","INFLIGHT FUN JET","{No longer listed at LEGO.com}","2012-06-01","2012-06-12"
"1782-1","http://cache.lego.com/bigdownloads/buildinginstructions/4109179.pdf","DIVING","BUILDING INSTR. 1782","2010-01-01","2017-06-28"
"1796-1","http://cache.lego.com/bigdownloads/buildinginstructions/4108581.pdf","Freestyle Large Monster Bucket","{No longer listed at LEGO.com}","2012-06-01","2012-06-12"
"1796-1","http://cache.lego.com/bigdownloads/buildinginstructions/4105511.pdf","Freestyle Large Monster Bucket","{No longer listed at LEGO.com}","2012-06-01","2012-06-12"
"1802-1","http://cache.lego.com/bigdownloads/buildinginstructions/4101182.pdf","","{No longer listed at LEGO.com}","2010-01-01",
"1804-1","http://cache.lego.com/bigdownloads/buildinginstructions/4101183.pdf","","{No longer listed at LEGO.com}","2010-01-01",
"1806-1","http://cache.lego.com/bigdownloads/buildinginstructions/4101184.pdf","","{No longer listed at LEGO.com}","2010-01-01",
"1808-1","http://cache.lego.com/bigdownloads/buildinginstructions/4100907.pdf","INFLIGHT CLOUD HOPPER","{No longer listed at LEGO.com}","2012-06-01","2012-06-12"
"1808-1","http://cache.lego.com/bigdownloads/buildinginstructions/4100906.pdf","INFLIGHT CLOUD HOPPER","{No longer listed at LEGO.com}","2012-06-01","2012-06-12"
"1809-1","http://cache.lego.com/bigdownloads/buildinginstructions/4109228.pdf","INFLIGHT FUN FLYER GA","{No longer listed at LEGO.com}","2012-06-01","2012-06-12"
"1809-1","http://cache.lego.com/bigdownloads/buildinginstructions/4117659.pdf","INFLIGHT FUN FLYER GA","{No longer listed at LEGO.com}","2012-06-01","2012-06-12"
"1809-1","http://cache.lego.com/bigdownloads/buildinginstructions/4105460.pdf","INFLIGHT FUN FLYER GA","BI ITEM 1809","2010-01-01","2017-06-28"
"1815-1","http://cache.lego.com/bigdownloads/buildinginstructions/4103883.pdf","PARADISA SMALL BEACH","BUILDING INSTR., ITEM 1815 IN","2010-01-01","2017-06-28"
"1817-1","http://cache.lego.com/bigdownloads/buildinginstructions/4105367.pdf","INFLIGHT FOREST FLYER","BUILDING INSTR. 1817 IN PROM.","2010-01-01","2017-06-28"
"1817-1","http://cache.lego.com/bigdownloads/buildinginstructions/4105532.pdf","INFLIGHT FOREST FLYER","BI 1817","2010-01-01","2017-06-28"
"1818-1","http://cache.lego.com/bigdownloads/buildinginstructions/4105466.pdf","INFLIGHT STARLINER","{No longer listed at LEGO.com}","2010-01-01","2014-05-02"
"1821-1","http://cache.lego.com/bigdownloads/buildinginstructions/4103884.pdf","TOWN RACE TEAM","{No longer listed at LEGO.com}","2010-01-01","2014-05-02"
"1822-1","http://cache.lego.com/bigdownloads/buildinginstructions/4101177.pdf","III NEPTUNES","BUILDING INSTR. 1822 IN","2010-01-01","2017-06-28"
